Año,Trimestre,Trim_año,mes_año,Población en edad de trabajar (Total) - nota,Población en edad de trabajar (Total) - en miles,Fuerza de trabajo (Total) - nota,Fuerza de trabajo (Total) - en miles,Población ocupada (Total) - nota,Población ocupada (Total) - en miles,Población desocupada (Total) - nota,Población desocupada (Total) - en miles,Población desocupada (Cesantes) - nota,Población desocupada (Cesantes) - en miles,Población desocupada (Buscan trabajo por primera vez) - nota,Población desocupada (Buscan trabajo por primera vez) - en miles,Fuera de la fuerza de trabajo (Total) - nota,Fuera de la fuerza de trabajo (Total) - en miles,Fuera de la fuerza de trabajo (Iniciadores) - nota,Fuera de la fuerza de trabajo (Iniciadores) - en miles,Fuera de la fuerza de trabajo (Inactivos potencialmente activos) - nota,Fuera de la fuerza de trabajo (Inactivos potencialmente activos) - en miles,Fuera de la fuerza de trabajo (Inactivos habituales) - nota,Fuera de la fuerza de trabajo (Inactivos habituales) - en miles,Tasa de desocupación [1] - nota,Tasa de desocupación [1] - tasa (%),Tasa de ocupación [2] - nota,Tasa de ocupación [2] - tasa (%),Tasa de participación [3] - nota,Tasa de participación [3] - tasa (%)
2010,Ene - Mar,2010_Ene - Mar,01/febrero/2010,,13218.219001100171,,7883.686476900227,,7156.211576215972,,727.4749006842545,,634.3209292488518,,93.15397143540264,,5334.532524199946,,93.15167495013134,,1075.6604741766407,,4165.720375073174,,9.227598063619205,,54.13899993350353,,59.642577235587154
2010,Feb - Abr,2010_Feb - Abr,01/marzo/2010,,13235.828000739717,,7896.5179887001295,,7198.7773872589705,,697.7406014411594,,614.162420520436,,83.5781809207234,,5339.3100120395875,,76.97328916860609,,982.4056529908382,,4279.931069880144,,8.836054099283027,,54.388568564480046,,59.66017379690044
2010,Mar - May,2010_Mar - May,01/abril/2010,,13252.84500000041,,7899.816982868568,,7181.902887603677,,717.9140952648912,,640.5664886164247,,77.34760664846645,,5353.028017131841,,50.528824284839054,,978.7593934534221,,4323.739799393579,,9.087730726189601,,54.19140484630625,,59.60846129920273
2010,Abr - Jun,2010_Abr - Jun,01/mayo/2010,,13270.236000000416,,7905.91670939381,,7221.575499168756,,684.3412102250539,,607.8989217416955,,76.44228848335844,,5364.319290606605,,42.95076865436841,,990.012315188263,,4331.356206763973,,8.65606400092629,,54.419344909680056,,59.57630828414479
2010,May - Jul,2010_May - Jul,01/junio/2010,,13287.404000002756,,7931.587240624259,,7256.515675708963,,675.0715649152962,,605.989177404826,,69.08238751047014,,5355.816759378497,,41.091441742032416,,1017.4812025850375,,4297.244115051428,,8.511178714112768,,54.611989487995224,,59.69252715295338
2010,Jun - Ago,2010_Jun - Ago,01/julio/2010,,13304.972000014748,,7960.8177628927615,,7289.221280886205,,671.5964820065565,,598.3075296288403,,73.28895237771621,,5344.154237121988,,40.26255130725871,,1015.5726164911861,,4288.319069323544,,8.436275041202741,,54.785694256839655,,59.83340485710107
2010,Jul - Sep,2010_Jul - Sep,01/agosto/2010,,13322.178000015054,,8042.918534973653,,7389.466093731085,,653.4524412425683,,583.9407540738149,,69.51168716875331,,5279.259465041402,,43.69748888260204,,974.7703418548126,,4260.791634303987,,8.12456869233612,,55.4674025052265,,60.37239958034313
2010,Ago - Oct,2010_Ago - Oct,01/septiembre/2010,,13339.86900001639,,8042.963170954159,,7414.429992770515,,628.5331781836445,,553.1683062880178,,75.3648718956268,,5296.905829062231,,53.941546288303336,,905.5648145586136,,4337.399468215313,,7.814696708465468,,55.580980538575055,,60.29266982265177
2010,Sep - Nov,2010_Sep - Nov,01/octubre/2010,,13356.955000047312,,8087.411835420961,,7503.0922512473935,,584.3195841735671,,509.2649563147161,,75.05462785885102,,5269.5431646263505,,58.18168180271582,,857.0714680059233,,4354.290014817712,,7.2250504372039615,,56.17367320037252,,60.54831984829113
2010,Oct - Dic,2010_Oct - Dic,01/noviembre/2010,,13374.817000056571,,8160.715885142169,,7572.317751550401,,588.3981335917666,,498.84030696392637,,89.55782662784023,,5214.101114914403,,59.707207985898876,,844.1459454084792,,4310.2479615200255,,7.210128889097038,,56.61623446151355,,61.01553303576155
2010,Nov - Ene,2010_Nov - Ene,01/diciciembre/2010,,13391.933000004341,,8227.81035425652,,7615.516313016522,,612.294041239999,,508.32031598895753,,103.97372525104147,,5164.1226457478215,,65.55626437419555,,899.9863862591042,,4198.579995114522,,7.441761718817921,,56.86644574023819,,61.43855673601304
2011,Dic - Feb,2011_Dic - Feb,01/enero/2011,,13409.572000004731,,8233.856926936953,,7621.029946048524,,612.826980888428,,511.2377103978816,,101.58927049054648,,5175.715073067779,,75.10378284378866,,919.9495223533581,,4180.661767870632,,7.442769364665214,,56.83276055377334,,61.40283170062436
2011,Ene - Mar,2011_Ene - Mar,01/febrero/2011,,13426.839000005035,,8246.367210604292,,7623.921801739246,,622.4454088650457,,539.1224430268577,,83.32296583818793,,5180.471789400744,,71.68567212248868,,884.7881512291893,,4223.997966049066,,7.5481165580962895,,56.78121113790362,,61.417040977412476
2011,Feb - Abr,2011_Feb - Abr,01/marzo/2011,,13444.433000095472,,8250.013546571456,,7655.09584124612,,594.9177053253364,,533.7587668674477,,61.15893845788873,,5194.419453524016,,55.78294790250178,,839.8193395682716,,4298.817166053242,,7.211111860205037,,56.93877786584053,,61.36378935811477
